Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
673550;23787;792;49;75;67;10;Хамовники;LINESTRING (37.580338 55.739517, 37.580315 55.739459);POINT (37.5803 55.7395);myData.biz;55.739517;37.580338;55.739459;37.580315
673551;25979;865;53;82;73;11;Хамовники;LINESTRING (37.580315 55.739459, 37.580273 55.739263);POINT (37.5803 55.7394);myData.biz;55.739459;37.580315;55.739263;37.580273
673552;25979;865;53;82;73;11;Хамовники;LINESTRING (37.580273 55.739263, 37.580179 55.738826);POINT (37.5802 55.739);myData.biz;55.739263;37.580273;55.738826;37.580179
673553;2734;91;5;8;7;1;Хамовники;LINESTRING (37.573571 55.739096, 37.573926 55.739066);POINT (37.5737 55.7391);myData.biz;55.739096;37.573571;55.739066;37.573926
673554;2734;91;5;8;7;1;Хамовники;LINESTRING (37.573926 55.739066, 37.575105 55.738857);POINT (37.5745 55.739);myData.biz;55.739066;37.573926;55.738857;37.575105
673555;6972;232;14;22;19;3;Хамовники;LINESTRING (37.575046 55.738824, 37.575127 55.738802);POINT (37.5751 55.7388);myData.biz;55.738824;37.575046;55.738802;37.575127
673556;6972;232;14;22;19;3;Хамовники;LINESTRING (37.575127 55.738802, 37.574726 55.738584);POINT (37.5749 55.7387);myData.biz;55.738802;37.575127;55.738584;37.574726
673557;1044;34;2;3;2;0;Хамовники;LINESTRING (37.573571 55.739096, 37.573068 55.739151);POINT (37.5733 55.7391);myData.biz;55.739096;37.573571;55.739151;37.573068
673558;29947;998;62;94;84;12;Хамовники;LINESTRING (37.573068 55.739151, 37.572879 55.739244);POINT (37.573 55.7392);myData.biz;55.739151;37.573068;55.739244;37.572879
673559;29947;998;62;94;84;12;Хамовники;LINESTRING (37.572879 55.739244, 37.572821 55.73936);POINT (37.5729 55.7393);myData.biz;55.739244;37.572879;55.73936;37.572821
673560;75835;2527;157;240;214;32;Хамовники;LINESTRING (37.57272 55.739345, 37.57269 55.739406);POINT (37.5727 55.7394);myData.biz;55.739345;37.57272;55.739406;37.57269
673561;75835;2527;157;240;214;32;Хамовники;LINESTRING (37.57269 55.739406, 37.572711 55.739479);POINT (37.5727 55.7394);myData.biz;55.739406;37.57269;55.739479;37.572711
673566;2647;88;5;8;7;1;Хамовники;LINESTRING (37.579297 55.739456, 37.579271 55.73946);POINT (37.5793 55.7395);myData.biz;55.739456;37.579297;55.73946;37.579271
673567;43913;1463;90;138;124;19;Хамовники;LINESTRING (37.579271 55.73946, 37.579011 55.738948);POINT (37.5791 55.7392);myData.biz;55.73946;37.579271;55.738948;37.579011
673568;43913;1463;90;138;124;19;Хамовники;LINESTRING (37.579011 55.738948, 37.579026 55.73892);POINT (37.579 55.7389);myData.biz;55.738948;37.579011;55.73892;37.579026
673569;186599;6219;386;590;528;80;Хамовники;LINESTRING (37.581103 55.74518, 37.580654 55.745151);POINT (37.5809 55.7452);myData.biz;55.74518;37.581103;55.745151;37.580654
673570;6015;200;12;19;17;2;Хамовники;LINESTRING (37.576259 55.741781, 37.576319 55.741772);POINT (37.5763 55.7418);myData.biz;55.741781;37.576259;55.741772;37.576319
673571;69551;2318;144;220;197;30;Хамовники;LINESTRING (37.576319 55.741772, 37.576274 55.741664);POINT (37.5763 55.7417);myData.biz;55.741772;37.576319;55.741664;37.576274
673572;5225;174;10;16;14;2;Хамовники;LINESTRING (37.576775 55.740738, 37.576531 55.740088);POINT (37.5767 55.7404);myData.biz;55.740738;37.576775;55.740088;37.576531
673573;30912;1030;64;97;87;13;Хамовники;LINESTRING (37.576531 55.740088, 37.57628 55.739458);POINT (37.5764 55.7398);myData.biz;55.740088;37.576531;55.739458;37.57628
673574;97586;3252;202;308;276;42;Хамовники;LINESTRING (37.57628 55.739458, 37.576244 55.739393);POINT (37.5763 55.7394);myData.biz;55.739458;37.57628;55.739393;37.576244
673575;287233;9574;594;909;813;124;Хамовники;LINESTRING (37.576718 55.741602, 37.576322 55.740704);POINT (37.5765 55.7412);myData.biz;55.741602;37.576718;55.740704;37.576322
673576;179245;5974;371;567;507;77;Хамовники;LINESTRING (37.576933 55.741436, 37.577053 55.741419);POINT (37.577 55.7414);myData.biz;55.741436;37.576933;55.741419;37.577053
673577;179245;5974;371;567;507;77;Хамовники;LINESTRING (37.577053 55.741419, 37.577224 55.741394);POINT (37.5771 55.7414);myData.biz;55.741419;37.577053;55.741394;37.577224
673578;179245;5974;371;567;507;77;Хамовники;LINESTRING (37.577224 55.741394, 37.577386 55.74137);POINT (37.5773 55.7414);myData.biz;55.741394;37.577224;55.74137;37.577386
673579;19895;663;41;62;56;8;Хамовники;LINESTRING (37.580069 55.740816, 37.580448 55.740719);POINT (37.5803 55.7408);myData.biz;55.740816;37.580069;55.740719;37.580448
673580;19895;663;41;62;56;8;Хамовники;LINESTRING (37.580448 55.740719, 37.580411 55.740674);POINT (37.5804 55.7407);myData.biz;55.740719;37.580448;55.740674;37.580411
673581;25405;846;52;80;71;10;Хамовники;LINESTRING (37.580232 55.739717, 37.580301 55.73954);POINT (37.5803 55.7396);myData.biz;55.739717;37.580232;55.73954;37.580301
673582;180745;6024;374;572;512;78;Хамовники;LINESTRING (37.578734 55.741164, 37.578752 55.741147);POINT (37.5787 55.7412);myData.biz;55.741164;37.578734;55.741147;37.578752
673583;180745;6024;374;572;512;78;Хамовники;LINESTRING (37.578752 55.741147, 37.579095 55.741081);POINT (37.5789 55.7411);myData.biz;55.741147;37.578752;55.741081;37.579095
673584;530;17;1;1;1;0;Хамовники;LINESTRING (37.578163 55.745287, 37.577882 55.745265);POINT (37.578 55.7453);myData.biz;55.745287;37.578163;55.745265;37.577882
673585;14962;498;30;47;42;6;Хамовники;LINESTRING (37.576798 55.745179, 37.575052 55.742957);POINT (37.5759 55.7441);myData.biz;55.745179;37.576798;55.742957;37.575052
673586;4713;157;9;14;13;2;Хамовники;LINESTRING (37.578163 55.745287, 37.57821 55.745291);POINT (37.5782 55.7453);myData.biz;55.745287;37.578163;55.745291;37.57821
