Identif,MonthlyPeoples,DailyPeoples,HourlyPeoples_08_22,HourlyPeoples_08_10,HourlyPeoples_17_19,HourlyPeoples_22_08,DistrictName,WKT,HeatmapPoint,Author,lat1,lon1,lat2,lon2,CoordinateLan,CoordinateLng,P,RentCost,NormalizeRentCost,NormalizeTraffic,RelativeValue
61060,45,1,0,0,0,0,Хамовники,"LINESTRING (37.566202 55.714824, 37.566648 55.715154)",POINT (37.5664 55.715),myData.biz,55.714824,37.566202,55.715154,37.566648,55.715,37.5664,0.16378126871739496,367520.8077709611,0.5879407084657897,9.250967651216317e-06,2.384908793145161e-05
61061,45,1,0,0,0,0,Хамовники,"LINESTRING (37.566648 55.715154, 37.567632 55.714598)",POINT (37.5671 55.7149),myData.biz,55.715154,37.566648,55.714598,37.567632,55.7149,37.5671,0.16658720307150643,370073.3739837398,0.5920241602659676,9.250967651216317e-06,2.353351405905973e-05
61062,28888,962,59,91,81,12,Хамовники,"LINESTRING (37.560389 55.711461, 37.560187 55.71131)",POINT (37.5603 55.7114),myData.biz,55.711461,37.560389,55.71131,37.560187,55.7114,37.5603,0.0,-1.0,1.0,0.0177976282985867,0.0
61063,21508,716,44,68,60,9,Хамовники,"LINESTRING (37.560187 55.71131, 37.559818 55.71132)",POINT (37.56 55.7113),myData.biz,55.71131,37.560187,55.71132,37.559818,55.7113,37.56,0.0,-1.0,1.0,0.01324615221418827,0.0
61064,21508,716,44,68,60,9,Хамовники,"LINESTRING (37.559818 55.71132, 37.559448 55.71133)",POINT (37.5596 55.7113),myData.biz,55.71132,37.559818,55.71133,37.559448,55.7113,37.5596,0.0,-1.0,1.0,0.01324615221418827,0.0
61065,21508,716,44,68,60,9,Хамовники,"LINESTRING (37.559448 55.71133, 37.559365 55.711334)",POINT (37.5594 55.7113),myData.biz,55.71133,37.559448,55.711334,37.559365,55.7113,37.5594,0.0,-1.0,1.0,0.01324615221418827,0.0
61066,10784,359,22,34,30,4,Хамовники,"LINESTRING (37.559365 55.711334, 37.558393 55.711377)",POINT (37.5589 55.7114),myData.biz,55.711334,37.559365,55.711377,37.558393,55.7114,37.5589,0.0,-1.0,1.0,0.006632327074745352,0.0
61067,7380,246,15,23,20,3,Хамовники,"LINESTRING (37.560187 55.71131, 37.560119 55.711247)",POINT (37.5602 55.7113),myData.biz,55.71131,37.560187,55.711247,37.560119,55.7113,37.5602,0.0,-1.0,1.0,0.0045329741490959955,0.0
61068,4161,138,8,13,11,1,Хамовники,"LINESTRING (37.560119 55.711247, 37.5609 55.711245)",POINT (37.5605 55.7112),myData.biz,55.711247,37.560119,55.711245,37.5609,55.7112,37.5605,0.0,-1.0,1.0,0.002547716491144974,0.0
61069,4161,138,8,13,11,1,Хамовники,"LINESTRING (37.5609 55.711245, 37.561644 55.711256)",POINT (37.5613 55.7113),myData.biz,55.711245,37.5609,55.711256,37.561644,55.7113,37.5613,0.0,-1.0,1.0,0.002547716491144974,0.0
61070,4161,138,8,13,11,1,Хамовники,"LINESTRING (37.561644 55.711256, 37.561656 55.7111)",POINT (37.5617 55.7112),myData.biz,55.711256,37.561644,55.7111,37.561656,55.7112,37.5617,0.0,-1.0,1.0,0.002547716491144974,0.0
61071,4161,138,8,13,11,1,Хамовники,"LINESTRING (37.561656 55.7111, 37.561995 55.711119)",POINT (37.5618 55.7111),myData.biz,55.7111,37.561656,55.711119,37.561995,55.7111,37.5618,0.0,-1.0,1.0,0.002547716491144974,0.0
72053,576569,19218,1194,1825,1633,249,Хамовники,"LINESTRING (37.570573 55.741674, 37.571006 55.741408)",POINT (37.5708 55.7415),myData.biz,55.741674,37.570573,55.741408,37.571006,55.7415,37.5708,0.5626554772871207,375991.34863049886,0.6014914031150408,0.3555695759109736,0.4636507746984469
72054,576569,19218,1194,1825,1633,249,Хамовники,"LINESTRING (37.571006 55.741408, 37.571452 55.741133)",POINT (37.5712 55.7413),myData.biz,55.741408,37.571006,55.741133,37.571452,55.7413,37.5712,0.4783506125917813,379809.8307228328,0.6075999959091584,0.3555695759109736,0.544549430508683
72055,576569,19218,1194,1825,1633,249,Хамовники,"LINESTRING (37.571452 55.741133, 37.571591 55.741038)",POINT (37.5715 55.7411),myData.biz,55.741133,37.571452,55.741038,37.571591,55.7411,37.5715,0.4249970424091511,381771.7126690133,0.6107385042560765,0.3555695759109736,0.595444281664969
72056,573613,19120,1188,1816,1625,248,Хамовники,"LINESTRING (37.571591 55.741038, 37.571689 55.740972)",POINT (37.5716 55.741),myData.biz,55.741038,37.571591,55.740972,37.571689,55.741,37.5716,0.44395167660603296,381124.9391883242,0.6097038324341252,0.35374651855250727,0.5743862121062351
72057,573613,19120,1188,1816,1625,248,Хамовники,"LINESTRING (37.571689 55.740972, 37.572432 55.740514)",POINT (37.5721 55.7407),myData.biz,55.740972,37.571689,55.740514,37.572432,55.7407,37.5721,0.5542082108306571,374529.9695264885,0.5991535710528836,0.35374651855250727,0.4729413295532117
72058,573613,19120,1188,1816,1625,248,Хамовники,"LINESTRING (37.572432 55.740514, 37.572507 55.740467)",POINT (37.5725 55.7405),myData.biz,55.740514,37.572432,55.740467,37.572507,55.7405,37.5725,0.6788353629371864,370473.73116335145,0.5926646291547333,0.35374651855250727,0.34623983105715406
72059,573613,19120,1188,1816,1625,248,Хамовники,"LINESTRING (37.572507 55.740467, 37.572452 55.740441)",POINT (37.5725 55.7405),myData.biz,55.740467,37.572507,55.740441,37.572452,55.7405,37.5725,0.6788353629371864,370473.73116335145,0.5926646291547333,0.35374651855250727,0.34623983105715406
72060,426850,14228,884,1351,1209,184,Хамовники,"LINESTRING (37.572452 55.740441, 37.572589 55.74045)",POINT (37.5725 55.7404),myData.biz,55.740441,37.572452,55.74045,37.572589,55.7404,37.5725,0.704905932082885,369947.3330345138,0.5918225270474299,0.26323320085947655,0.237222121808986
72061,426850,14228,884,1351,1209,184,Хамовники,"LINESTRING (37.572589 55.74045, 37.573103 55.740439)",POINT (37.5728 55.7404),myData.biz,55.74045,37.572589,55.740439,37.573103,55.7404,37.5728,0.89,385204.92556468176,0.6162307650675796,0.26323320085947655,0.08313971199483768
72062,291417,9713,603,922,825,126,Хамовники,"LINESTRING (37.573103 55.740439, 37.573114 55.740457)",POINT (37.5731 55.7404),myData.biz,55.740439,37.573103,55.740457,37.573114,55.7404,37.5731,0.89,381322.57777777774,0.6100200035288644,0.17970744739899794,0.05767745660268068
72063,290335,9677,601,919,822,125,Хамовники,"LINESTRING (37.573114 55.740457, 37.573346 55.740807)",POINT (37.5732 55.7406),myData.biz,55.740457,37.573114,55.740807,37.573346,55.7406,37.5732,0.89,381161.72079212556,0.6097626735742704,0.17904014426575687,0.0575012017492584
72064,286483,9549,593,907,811,124,Хамовники,"LINESTRING (37.573346 55.740807, 37.573372 55.740848)",POINT (37.5734 55.7408),myData.biz,55.740807,37.573346,55.740848,37.573372,55.7408,37.5734,0.89,372855.7621141417,0.5964752682384087,0.1766644957729245,0.05867014078478153
72065,83250,2775,172,263,235,36,Хамовники,"LINESTRING (37.573372 55.740848, 37.573643 55.741265)",POINT (37.5735 55.7411),myData.biz,55.740848,37.573372,55.741265,37.573643,55.7411,37.5735,0.6391760385537782,370572.9742938101,0.5928233927306584,0.05132436852894813,0.056416587582835395
72066,83250,2775,172,263,235,36,Хамовники,"LINESTRING (37.573643 55.741265, 37.573739 55.741399)",POINT (37.5737 55.7413),myData.biz,55.741265,37.573643,55.741399,37.573739,55.7413,37.5737,0.5781490885354482,344738.83275855286,0.5514953867302355,0.05132436852894813,0.07265316370187798
72067,83250,2775,172,263,235,36,Хамовники,"LINESTRING (37.573739 55.741399, 37.573915 55.741643)",POINT (37.5738 55.7415),myData.biz,55.741399,37.573739,55.741643,37.573915,55.7415,37.5738,0.5186002223450082,342707.32461278146,0.5482454943069177,0.05132436852894813,0.08350971516019005
72068,43001,1433,89,136,121,18,Хамовники,"LINESTRING (37.573915 55.741643, 37.573982 55.741735)",POINT (37.5739 55.7417),myData.biz,55.741643,37.573915,55.741735,37.573982,55.7417,37.5739,0.46871583657993876,343869.80423706083,0.5501051637997871,0.02650155539602776,0.04739300563953446
